term	class_section	url
firstmidterm	IX-A
firstmidterm	IX-B
firstmidterm	IX-C
firstmidterm	X-A
firstmidterm	X-B
firstterm	IX-A
firstterm	IX-B
firstterm	IX-C
firstterm	X-A
firstterm	X-B
secondmidterm	IX-A
secondmidterm	IX-B
secondmidterm	IX-C
secondmidterm	X-A
secondmidterm	X-B
secondterm	IX-A
secondterm	IX-B
secondterm	IX-C
secondterm	X-A
secondterm	X-B
thirdmidterm	IX-A
thirdmidterm	IX-B
thirdmidterm	IX-C
thirdmidterm	X-A
thirdmidterm	X-B
thirdterm	IX-A
thirdterm	IX-B
thirdterm	IX-C
thirdterm	X-A
thirdterm	X-B
